id,category,skill,definition,definition_link
29,Drug Development,Biological license application (BLA),"A request to the US Food and Drug Administration (FDA) for permission to market a new biologic product. Formally, a BLA is defined as a request for �permission to introduce, or deliver for introduction, a biologic product into interstate commerce in the US�. A BLA is broadly equivalent to a new drug application (NDA) for traditional small-molecule drugs. It should contain all the information needed to demonstrate the product�s safety, potency and purity.",https://revive.gardp.org/resource/biologics-license-application-bla/
30,Drug Development,Clinical statistics,,
31,Drug Development,Clinical study design,"Plan for the precise procedure to be followed in a clinical trial, including planned and actual timing of events, choice of control group, method of allocating treatments, blinding methods, assigns a subject to pass through one or more epochs in the course of a trial. Specific design elements, e.g., crossover, parallel, dose-escalation [Modified from Pocock, Clinical Trials: A Practical Approach]",http://www.ontobee.org/ontology/OBI?iri=http://purl.obolibrary.org/obo/OBI_0500001
32,Drug Development,Clinical study report (CSR) creation,"Comprehensive report of an individual study conducted in patients of any therapeutic, prophylactic, or diagnostic agent. A CSR must include an explanation of critical design features of the study, methods and how the study was carried out, individual patient data, and details of analytical methods. The content of CSRs is specified in guideline E3 produced by the International Conference on Harmonisation of Technical Requirements for Registration of Pharmaceuticals for Human Use (ICH). They are submitted to regulatory authorities and ethics committees and are a key element of submissions for regulatory approval.",https://revive.gardp.org/resource/clinical-study-report-csr/
33,Drug Development,Investigational new drug (IND) submission,"A novel drug, ready to be tested for safety and efficacy in people. Before a new drug or biological product can be tested on people in the USA, an Investigational New Drug (IND) application must be made to the US Food and Drug Administration (FDA). An IND application must include information on safety in animal models, on manufacturing processes and quality assurance (CMC), the design of the proposed clinical studies, and the qualifications of the investigators due to carry out the study. The IND process is designed to enable regulators to assess whether a drug is safe to test in humans and has promise as a potential treatment. In Europe, a Clinical Trial Application (CTA) must be made to national regulatory agencies to secure approval for studies on humans.",https://revive.gardp.org/resource/investigational-new-drug-ind/
34,Drug Development,Marketing authorization application (MAA),"An application made to a European regulatory authority for approval to market a medicine within the European Union (or Iceland, Liechtenstein or Norway). An MAA includes comprehensive information about a drug to enable a regulatory authority to judge its quality, safety and efficacy.",https://revive.gardp.org/resource/marketing-authorization-application-maa/
35,Drug Development,Medical writing,,http://purl.obolibrary.org/obo/OMIT_0028831
36,Drug Development,Pandrug-resistance (PDR),"Non-susceptibility to all agents in all antimicrobial categories (i.e. bacterial isolates are not susceptible to any clinically available drug). The prevalence of PDR bacteria is difficult to judge as isolates are rarely assessed against all possible antibiotics. However, PDR Gram-negative bacteria have been reported in more than 20 countries in all regions of the world. Mortality in patients infected with these bacteria is high (around 50% on average) but very variable.",https://revive.gardp.org/resource/pandrug-resistant/
37,Drug Development,Patient related documentation creation (eg. informed consent),"Agreement from a potential participant that he or she is willing to take part in a clinical study and is aware of what the study involves. The principle of informed consent ensures that participants willingly take part in clinical studies and are fully aware of what the studies involve. To give informed consent, a potential participant must have received sufficient information in a format that enables them to understand the implications of their decision, and they must have sufficient reasoning powers to interpret the information provided. Special procedures are applied for those unable to give informed consent, for example, because of age, a decline in cognitive abilities or severe illness.",https://revive.gardp.org/resource/informed-consent/
38,Drug Development,Phase 1 trials,"Different stages of clinical testing of a new drug. Phase 1: First testing in humans, primarily to test safety. A drug is given to a small number of healthy volunteers who are closely monitored.",https://revive.gardp.org/resource/phase-1234-trials/
39,Drug Development,Phase 2 trials,"Phase 2: Testing in a small number of patients, to assess safety, to monitor how a drug is metabolized, and to gather initial data on efficacy. Phase 3: A large trial in patients to test efficacy and safety. Phase 2 studies are sometimes divided into phase 2A and 2B. There are no formal definitions of these divisions, but phase 2A studies are typically more preliminary and can address issues such as dosing and safety, while phase 2B studies are generally �mini-phase 3� studies that provide data on efficacy. Increasingly, these categories are becoming less clear-cut, particularly phase 2 and 3 trials.",https://revive.gardp.org/resource/phase-1234-trials/
40,Drug Development,Phase 3 trials,Different stages of clinical testing of a new drug. Phase 3: A large trial in patients to test efficacy and safety. Pivotal phase 3 trials (or registration trials) provide the key data on efficacy in submissions for regulatory approval.,https://revive.gardp.org/resource/phase-1234-trials/
41,Drug Development,Phase 4 trials and Pharmacovigilance,"Different stages of clinical testing of a new drug. Phase 4: Studies undertaken after a drug has been licensed, to gather further safety, efficacy or effectiveness data in routine clinical use.",https://revive.gardp.org/resource/phase-1234-trials/
42,Drug Development,Quality assurance (clinical trials),"Measures taken to ensure that a clinical study is conducted and reported according to its agreed protocol, and in accordance with Good Clinical Practice and any other relevant regulatory requirements. Quality assurance is based on a planned and systematic set of activities to ensure that all aspects of a clinical trial are carried out to a high standard. These activities are essential to protect the health and wellbeing of participants in trials and to ensure that the data obtained are reliable.",https://revive.gardp.org/resource/quality-assurance-clinical-trials/
43,Drug Development,Analytical Techniques,,
44,Drug Development,Pre-clinical pharmacology,,
45,Drug Development,Clinical microbiology studies,,
46,Communication and Project Management,Project management,,
47,Communication and Project Management,Legal expertise,,
48,Communication and Project Management,Project communication and dissemination,,
49,Communication and Project Management,Ethics and ELSI,,
