term	definition
Best available therapy (BAT)	The most appropriate or best available treatment based on current scientific evidence. Also known as standard of care (SOC). In clinical trials, best available therapy is commonly used as the comparator against which new interventions are evaluated.
Beta (ß)-lactamase	Bacterial enzyme that hydrolyses and inactivates beta-lactam antibiotics, leading to antibiotic resistance. Beta-lactamases target the four-atom beta-lactam ring found in beta-lactam antibiotics. In the most used classification system, Ambler classification, beta-lactamases are grouped into four classes (A–D) based on amino acid sequence homologies. Ambler class A beta-lactamases include enzymes that are active on extended-spectrum cephalosporins (extended-spectrum beta-lactamases, ESBLs). Ambler class B enzymes rely on zinc for their activity and are also known as metallo-beta-lactamases. Ambler class D beta-lactamases were originally known as oxacillinases, owing to their rapid action on oxacillin, and are also known as OXA beta-lactamases. OXA enzymes have emerged as an important cause of carbapenem resistance, initially in Acinetobacter baumannii. OXA-type ESBLs have since spread to other bacterial families, including Enterobacteriaceae.
Beta (ß)-lactamase inhibitor (BLI)	Agents that inhibit the activity of bacterial beta-lactamases, enzymes that hydrolyse and inactivate beta-lactam antibiotics and are a common cause of antibiotic resistance. To protect the beta-lactam antibiotic from inactivation, beta-lactamase inhibitors are used in combination with a beta-lactam drug (BL–BLI combinations). Examples of beta-lactamase inhibitors include clavulanic acid, sulbactam, tazobactam and avibactam.
Biocide	A chemical used to kill a microorganism on a surface e.g., skin, hospital environment or a kitchen. Biocides include antimicrobials and are widely used as disinfectants and antiseptics. Biocides typically have more than one molecular target. Bacteria can develop reduced sensitivity to biocides and for some such as triclosan this leads to reduced susceptibility to antibiotics.
Biologics license application (BLA)	A request to the US Food and Drug Administration (FDA) for permission to market a new biologic product. Formally, a BLA is defined as a request for “permission to introduce, or deliver for introduction, a biologic product into interstate commerce in the US”. A BLA is broadly equivalent to a new drug application (NDA) for traditional small-molecule drugs. It should contain all the information needed to demonstrate the product’s safety, potency and purity.
Bloodstream infection (BSI)	An infection of the blood that is circulated around the body. Blood is normally a sterile environment. Microbes from other parts of the body or the external environment can gain access to and multiply within blood. Bloodstream infections can be life threatening. An immune response to bacteria in the bloodstream can lead to sepsis, characterized by fever and low blood pressure, and if untreated multiple organ failure and death. Bloodstream infections are e responsible for high levels of morbidity and mortality. Many different types of microorganisms can establish bloodstream infections, and there is considerable variation in causative microorganisms in different parts of the world. Invasive medical procedures increase the risk of bloodstream infections, and so are common hospital-acquired infections. Bloodstream infections may be caused by drug-resistant microorganisms, and rising numbers of Gram-negative bacterial bloodstream infections are of great concern as these can be difficult to treat.
Breakpoint concentration, clinical	"The concentration of antibiotic used to define whether an infection by a particular bacterial strain/isolate is likely to be treatable in a patient. Typically, these are defined as susceptible or resistant to an antibiotic. The definition of the term ‘intermediate’ depends on the reference method and should be checked before using. Clinical microbiology laboratories use susceptibility testing and clinical breakpoint concentration data to provide guidance to clinicians so they can choose the most appropriate antibacterial therapy and dosing. Clinical breakpoint concentrations are different from antimicrobial susceptibility tests, since they take into account what happens to an antibiotic within the body (pharmacokinetics), which will affect an antibiotic’s clinical efficacy. Breakpoint concentrations are established by reference groups such as the European Committee on Antimicrobial Susceptibility Testing (EUCAST) and the Clinical and Laboratory Standards Institute (CLSI). However, for some drugs, EUCAST and CLSI recommend different breakpoint concentrations; this affects whether clinical isolates are considered to be susceptible or resistant."
Candidate	A compound with strong therapeutic potential whose activity and specificity have been optimized. Hits obtained by high-throughput screening have potential to become antibiotic drugs. Their antibacterial properties must be confirmed, and their structure may need to be modified to maximize their activity or other properties that will make them suitable to be used as drugs. At the end of this process, the resulting compound is considered a ‘candidate’ and potentially suitable for clinical trials.
Carbapenem-resistant Enterobacteriaceae (CRE)	Species of the Enterobacteriaceae family of Gram-negative bacteria that are resistant to carbapenem antibiotics. Such bacteria are often resistant to most other antibiotics too. Many CRE produce enzymes known as carbapenemases that inactivate carbapenems and other beta-lactam antibiotics. Clinically important carbapenemases include the Klebsiella pneumoniae carbapenemase (KPC), New Delhi metallo-beta-lactamase (NDM), the Verona integron-encoded metallo-beta-lactamase (VIM), imipenemase (IMP) and oxacillinase-48 (OXA-48). CRE can infect almost any part of the body. They are an important cause of hospital-acquired infections (HAIs) in many settings. CRE are associated with high mortality and are considered among the most pressing public health challenges globally. They are categorized by WHO as a ‘priority 1 (critical)’ pathogen for R&D of new antibiotics.
Chemistry, manufacturing and controls (CMC)	"Chemistry, manufacturing and controls; also referred to as pharmaceutical quality/CMC. The term covers the various procedures used to assess the physical and chemical characteristics of drug products, and to ensure their quality and consistency during manufacturing. CMC data are an important part of submissions to regulatory authorities."
Clearance, renal	Removal of a substance from the body by the kidney and its excretion in urine. In pharmacologic terms, it is a pharmacokinetic measurement of the volume of plasma from which a substance is completely removed per unit time. Renal clearance is the principal route through which most drugs are removed from the body. Dosing of antibiotics may need to be adjusted in people with impaired renal function, as some antibiotics are toxic at high concentrations.
Clinical Development	Testing of a new drug or treatment in people. Early stages of drug discovery and development involve in vitro studies and work on animal models. After this preclinical phase, promising drugs enter clinical development, which typically involves three distinct phases of clinical trials: Phase 1: first use in human volunteers, to assess safety and pharmacokinetics Phase 2: first testing in patients, to check safety, provisional efficacy, and to test different doses Phase 3: efficacy testing in a larger number of patients
Clinical exposure-response (CER) relationship	The relationship between plasma/serum drug levels (exposure) and clinical efficacy (response) in patients. Establishing exposure-response relationships is important for determining the optimal dose and dosing intervals of a drug treatment, to achieve the best balance between drug efficacy and the risk of adverse events.
Clinical study report (CSR)	Comprehensive report of an individual study conducted in patients of any therapeutic, prophylactic, or diagnostic agent. A CSR must include an explanation of critical design features of the study, methods and how the study was carried out, individual patient data, and details of analytical methods. The content of CSRs is specified in guideline E3 produced by the International Conference on Harmonisation of Technical Requirements for Registration of Pharmaceuticals for Human Use (ICH). They are submitted to regulatory authorities and ethics committees and are a key element of submissions for regulatory approval.
Cmax	The highest (peak) concentration of a drug in the bloodstream or other part of the body after drug administration. Cmax is a key pharmacokinetic measure and informs dosing schedules. Drug concentrations in the body need to be high enough over a sustained period for the drug to be effective but without causing significant side effects.
Compassionate use, clinical	Synonym: expanded access. Providing seriously ill patients with access outside of clinical trials to a new, unapproved drug when other treatment options have been exhausted or none is yet available. Regulatory authorities provide guidance outlining the circumstances when compassionate use can be considered and the procedures that should be followed.
Database lock (DBL)	Finalisation of information (data sets) obtained in a clinical trial. After data collection has been completed in a clinical study, including follow up of all participants, data quality and validation exercises are undertaken. After this, the database is “locked” so no further changes can be made to trial data. Data are then extracted from the database for analysis. Database lock is a crucial point in a clinical trial. It is intended to protect and maintain the integrity of trial data.
De-escalation	Change from a broad-spectrum antimicrobial to a narrower spectrum drug or change from combination therapy to monotherapy. Treatment of suspected serious life-threatening infections, such as bloodstream infections in patients with sepsis, is often started without confirmation of infection or identification of the organism responsible. This leads to the use of broad-spectrum antibiotics or combinations of antibiotics. When microbiological diagnostic information becomes available, clinicians may be able to safely switch to more specific treatments and/or discontinue use of certain antibiotics. Antibiotic de-escalation is a key element of antimicrobial stewardship programmes. Reduced use of broad-spectrum or unnecessary antibiotics lowers the selection pressures that drive the development of resistance. It also reduces patients’ risk of adverse reactions to antibiotics. In practice, de-escalation can be challenging as clinicians may be reluctant to halt treatment if a patient seems to be responding.
Dosing: BID, TID	"BID: bis in die, twice a day; TID: ter in die: three times a day. The appropriate dosing regimen for a drug depends on exposure-response relationships and is based on in vitro, in vivo, and clinical evidence. Depending on the drug class and its pharmacokinetic and pharmacodynamic properties, different dosing regimens may be optimal, including once a day (omne in die, OD), twice a day (bis in die, BID) or three times a day (ter in die, TID)."
Double-blind	A study in which neither the participants nor the experimenters know who is receiving the test treatment/s or placebo. The double-blind study design is used to minimize participant and researcher biases that could threaten the validity of a research study.
Drug product, medicinal product	The final form of a medicinal product, such as a tablet, pill or liquid medicine. A drug product includes an active pharmaceutical ingredient, often (but not always) in association with other active or inactive ingredients.
Efflux-mediated resistance	Resistance to antibiotics related to the presence of pumps that pump antibiotic molecules from the inside of the bacterial cell to the outside. Structurally and mechanistically diverse efflux pumps in the cell envelope play an important role in both intrinsic and acquired drug resistance.
Eligibility criteria (inclusion/exclusion)	Criteria used to determine who is eligible (or ineligible) for recruitment into a clinical study. Inclusion criteria are based on the condition(s) and populations that a study is focusing on, such as specific infections or age groups for antibiotic trials. Exclusion criteria are used to exclude potential participants, for example if they have additional conditions that could complicate interpretation of results, if use of an intervention might place them at risk, or if medications they are taking could interfere with the trial intervention.
Endpoint, clinical trial	The principal outcome that is measured in a clinical trial. Clinical trials typically assess multiple endpoints. The primary endpoint relates specifically to the anticipated clinical impact of an intervention, such as cure or survival, to provide a measure of its efficacy. Secondary endpoints can provide additional information on the effects of an intervention and on mechanisms of action, as well as on possible specific safety issues. Exploratory endpoints cover clinical outcomes likely to be rare or measures that allow hypotheses to be tested. It is essential that endpoints are selected that provide a reliable assessment of the benefits of an intervention and hence its efficacy. They must be acceptable to all stakeholders, particularly regulatory authorities, which must have confidence in the validity and reliability of endpoints to approve new treatments.
Enterobacterales	Order of diverse facultatively anaerobic and rod-shaped Gram-negative bacteria that includes many bacteria that infect people. The Enterobacterales order includes the families Enterobacteriaceae, Morganellaceae, Yersiniaceae, Erwiniaceae, Hafniaceae and others.
Enterobacteriaceae	A family of Gram-negative, facultatively anaerobic, glucose-fermenting bacteria commonly found in the gastrointestinal tract. The most clinically relevant members of this family are Escherichia coli, Klebsiella pneumoniae, Enterobacter spp., Salmonella spp. and Shigella spp. Multidrug resistance is common among Enterobacteriaceae, with carbapenem-resistant Enterobacteriaceae (CRE) seen as a particular public health threat.
Enterococcus	A genus of Gram-positive bacteria that includes several bacteria that cause infections in people. Enterococci are ubiquitous coccoid Gram-positive bacteria that can also be pathogenic. The genus Enterococcus comprises several species, with E. faecalis and E. faecium being the most abundant enterococcal species in humans. Enterococci have adapted to survive in healthcare environments and are an important cause of healthcare-associated infections (HAIs). Such enterococci are considered to be a specific type or ‘clade’, distinct from commensal gut enterococci. Healthcare-associated enterococci are typically multidrug-resistant, with some isolates resistant to glycopeptides such as vancomycin (vancomycin-resistant enterococci, VRE). This can make treatment of these infections challenging.
Epidemiological cut-off value (ECOFF)	"Minimum inhibitory concentrations (MICs) are properties of drugs, not of a microbe. The minimum inhibitory concentration (MIC) of an antibiotic is the minimum concentration to inhibit the growth of a microorganism. Where the MIC value for a bacterial isolate is below the ECOFF, the bacterium is likely to be from a wild-type drug-susceptible population; where the MIC value is above the ECOFF the bacterium is likely to be resistant. ECOFF values are based on microbiological studies, and do not necessarily indicate whether a drug will be clinically active, since they do not take into account what happens to an antibiotic within the body (pharmacokinetics). ECOFF values are not the same as clinical breakpoint concentrations."
ESKAPE	A group of bacteria – Enterococcus faecium, Staphylococcus aureus, Klebsiella pneumoniae, Acinetobacter baumannii, Pseudomonas aeruginosa and Enterobacter spp – that are the leading cause of hospital-acquired infections globally. Variations to ESKAPE exist, with ‘E’ standing for Escherichia coli, Enterobacteriaceae, or Enterobacterales. Clinically, these bacteria are important because they are common, often multidrug-resistant and difficult to treat.
Eukaryotic cell	A cell with a nucleus enclosed within a nuclear envelope and membrane-bound organelles such as mitochondria. People have eukaryotic cells. Eukaryotic cells are typically much larger than those of prokaryotic cells (e.g., bacteria), which lack a clearly defined nucleus.
Extensively drug-resistant (XDR)	Non-susceptibility to at least one agent in all but one or two antimicrobial categories (i.e. bacterial isolates remain susceptible to drugs from at most two classes of antibiotic). XDR organisms are resistant to more drugs than multidrug-resistant (MDR) microbes and often require use of relatively toxic drugs, high doses of drugs or drug combinations. Acquisition of additional resistance mechanisms has the potential to turn them into pandrug-resistant (PDR) organisms, resistant to all available antibiotics.
Fastidious bacteria	Microorganisms that are difficult to grow in the laboratory because they have complex or restricted nutritional and/or environmental requirements. Examples of fastidious bacteria include anaerobes such as Bacteroides fragilis. They can be difficult to grow in the laboratory and can present challenges for determining antimicrobial sensitivity.
First-in-human	Synonym: first-in-man (FIM), First study of a novel intervention in humans. First-in-human studies are usually carried out in healthy volunteers. Their principal role is to assess the safety of new interventions. They may incorporate a dose-escalation study design (single ascending dose or SAD study) to identify the optimum dose for use in future trials. First-in-human studies are also used to gather data on the effects of a new drug in humans and how it is metabolized. First-in-human studies are phase 1 trials.
Good clinical practice	Internationally agreed ethical and scientific quality standards for designing, conducting, recording, and reporting studies that involve human participants. Adherence to Good Clinical Practice ensures that the rights, safety, and wellbeing of participants are respected and protected, and that clinical trial data are reliable. Compliance with Good Clinical Practice is generally a legal obligation for all studies of investigational medical products involving human participants.
Good Laboratory Practice (GLP)	A quality assurance system to ensure the uniformity, consistency, reliability, reproducibility, quality and integrity of data from non-clinical studies to be submitted to regulatory authorities. Compliance with Good Laboratory Practice standards is essential for laboratory data to be accepted by regulatory authorities in regulatory submissions.
Good Manufacturing Practice (GMP)	A quality assurance system for manufacturers to ensure that their products are consistently high in quality from batch to batch. Good Manufacturing Practice guidelines are designed to ensure the safety and activity of manufactured pharmaceutical products. Global standards have been developed by the International Conference on Harmonization (ICH) and the World Health Organization. Enforcement is the responsibility of national regulatory authorities.
Gram-positive/negative	Characterization of bacteria according to their appearance after Gram staining, which reflects differences in the structure of their cell walls. The cell envelopes of most bacteria fall into one of two major groups. In addition to a cytoplasmic/inner membrane, Gram-negative bacteria have a thin peptidoglycan cell wall and an outer membrane containing lipopolysaccharide. Between the two membranes is the periplasm where enzymes such as beta-lactamases are found. Gram-positive bacteria lack an outer membrane but have a much thicker peptidoglycan layer than Gram-negative organisms. There is no periplasm and enzymes e.g., beta-lactamases are excreted to the outside of the cell. This distinction has important implications for antibiotic development. Many antibiotics target proteins involved in cell wall biosynthesis so have to traverse the outer membrane and periplasm in Gram-negative bacteria. Hence, the complex cell envelope of Gram-negative bacteria presents a significant barrier to the entry of antibiotics into the cell. Gram-negative bacteria include many multidrug-resistant species, including all three of the highest priorities in the WHO priority pathogen list for R&D of new antibiotics.
High-throughput screen (HTS)	The process by which large numbers of natural product extracts or chemicals (compound libraries) are tested for antimicrobial activity using automated and/or robotic equipment. High-throughput screens can either test the ability of compounds to inhibit a specific bacterial target or, more generally, to inhibit the growth of bacterial cells (see: ‘bacteriostatic‘) or kill bacteria (see: ‘bactericidal‘). Compounds discovered to have antibacterial activity in initial screens are known as ‘hits’.
Hit	A compound or extract identified in an initial screen for antibacterial activity. A hit must be re-tested to confirm its activity (see: ‘Hit confirmation, hit validation‘).
Hit confirmation, hit validation	Evaluation of a compound discovered to have antibacterial properties (a hit), by confirming its ability to inhibit bacterial growth, assessing its binding to molecular targets of interest, and determining its chemical structure. Hit validation is essential for eliminating false-positives from high-throughput screens, demonstrating that a compound has the potential to be an effective treatment, with no obvious chemical features that would make it difficult to develop into a drug.
Hit expansion	Chemical modification of an original hit obtained from screening to generate a suite of related derivatives. Although a hit has been found to have antibacterial activity, it may be a weak inhibitor or have other properties unfavourable to drug development. Chemical modifications may improve antibacterial activity or another important property such as solubility. Importantly, work on a family of related compounds can reveal which parts of the compound are most important to its antibacterial activity (structure-activity relationship). This information can guide further chemical modification to enhance its activity and specificity.
Hit identification, hit discovery	Testing for compounds that have antibacterial properties (hits), for example by high-throughput screening of compound libraries. Hits are an important starting point in drug discovery and development. However, they may require considerable chemical modification to enhance their antibacterial activity and other properties. Very few initial hits become antibiotics licensed to treat infections.
Hit-to-lead (HTL), lead generation	A stage of drug discovery during which a compound demonstrated to have antibacterial properties (a hit) is iteratively modified to improve its efficacy and other properties. Typically, multiple chemical variants of a hit compound are synthesized (hit expansion). Studies of these compounds help to identify key structural features of the compound associated with binding to molecular targets and efficacy (structure–activity relationships). Chemical modifications are also introduced to improve its drug-like properties, such as stability, membrane permeability, cytotoxicity and specificity. This stage ends with one or more optimized lead compounds that are extensively evaluated for efficacy and safety in biochemical and cellular assays and in animal studies.
Informed consent	Agreement from a potential participant that he or she is willing to take part in a clinical study and is aware of what the study involves. The principle of informed consent ensures that participants willingly take part in clinical studies and are fully aware of what the studies involve. To give informed consent, a potential participant must have received sufficient information in a format that enables them to understand the implications of their decision, and they must have sufficient reasoning powers to interpret the information provided. Special procedures are applied for those unable to give informed consent, for example, because of age, a decline in cognitive abilities or severe illness.
Institutional Review Board (IRB)	"A committee that reviews and approves the design of studies involving human participants. Before clinical trials are started, research plans must be reviewed and approved by a competent and appropriately constituted institutional review board (IRB) or independent ethics committee (IEC), also known as a research ethics committee (REC). The role of IRBs is to protect the rights, interests and welfare of participants in clinical studies. IRBs typically also monitor studies and review projects to ensure that procedures are followed. IRB review is generally mandatory for clinical studies; some countries have national ethics committees that must also review and approve applications to carry out clinical research."
International Council for Harmonisation of Technical Requirements for Pharmaceuticals for Human Use (ICH)	A global body that brings together regulatory authorities and the pharmaceutical industry to discuss scientific and technical aspects of pharmaceutical development, approval and safety monitoring, and develops good practice guidelines. ICH guidelines cover quality, safety, efficacy and multidisciplinary issues. They are not mandatory but they do act as a set of generally accepted international standards.
Intra-abdominal infection (IAI)	A group of infections that occur within the abdominal cavity. IAIs are a common cause of gastrointestinal emergency procedures and responsible for high levels of morbidity and mortality. An uncomplicated IAI (uIAI) involves only a single organ and does not extend to the peritoneum, a two-layer membrane that lines the abdominal cavity. A complicated IAI (cIAI) involves more than one organ and infection of the peritoneal space, the gap between the two layers of the peritoneum, leading to abscesses or peritonitis. Gram-negative and Gram-positive bacteria can cause IAIs and these can be drug-resistant.
Intracellular concentration	Intracellular concentration describes the concentrations of a drug in a cell such as a bacterium, characterized by the penetration, distribution, degradation and efflux of drugs in individual cells. Antibiotics don’t distribute equally in all tissue compartments. β-lactam antibiotics, for example, hardly penetrate into intracellular compartments of the bacterial cell, while fluoroquinolones and macrolides may even accumulate intracellularly. Intracellular penetration is important for the therapy of intracellular pathogens such as Chlamydia, M. tuberculosis, Legionella, Salmonella typhi. The intracellular space has different intracellular compartments where bacteria and the drug may distribute differently.
Investigational medicinal product (IMP)	Any medicinal product that is being tested or used as a reference in a clinical trial. IMPs include newly developed drugs but also licensed drugs that are being tested against a new condition, or in a new formulation or packaging, or are being used to gather more information about the authorised form. Regulatory authorities mandate specific procedures for manufacturing and handling of IMPs, to ensure their quality and safety and hence the validity of clinical trial data.
Investigational new drug (IND)	A novel drug, ready to be tested for safety and efficacy in people. Before a new drug or biological product can be tested on people in the USA, an Investigational New Drug (IND) application must be made to the US Food and Drug Administration (FDA). An IND application must include information on safety in animal models, on manufacturing processes and quality assurance (CMC), the design of the proposed clinical studies, and the qualifications of the investigators due to carry out the study. The IND process is designed to enable regulators to assess whether a drug is safe to test in humans and has promise as a potential treatment. In Europe, a Clinical Trial Application (CTA) must be made to national regulatory agencies to secure approval for studies on humans.
Investigator’s brochure (IB), clinical	A comprehensive document summarizing preclinical and clinical data relevant to the use of an investigational product (test drug) in human subjects. The IB is of critical importance throughout drug development and is continually updated. It provides the rationale for the planned use of an investigational product in a trial (such as dose and route of administration) and plans for participant monitoring and care. It is of particular importance for ensuring that investigators carrying out clinical studies can assess the risks and benefits associated with a new investigational drug and can deliver appropriate care to those who receive it. Maintenance of the IB is an aspect of Good Clinical Practice and is covered by International Council for Harmonization (ICH) and other guidelines.
Klebsiella	A genus of non-motile, aerobic and facultatively anaerobic Gram-negative rod-shaped bacteria. Klebsiella belongs to the Enterobacterales Enterobacteriaceae family. It is a common cause of both community-acquired and hospital-acquired infections, including pneumonia and respiratory tract infections. Klebsiella is one of the ‘ESKAPE’ pathogens that make up the most common antibiotic-resistant infections. Multidrug-resistant and extremely drug-resistant Klebsiella are among the most challenging infections to treat. Carbapenem-resistant Enterobacteriaceae such as Klebsiella are categorized by WHO as a ‘priority 1 (critical)’ pathogen for R&D of new antibiotics.
Lead compound	A promising newly discovered compound with antibacterial properties that has been selected for more intensive testing. Following screening for active compounds, those with antibacterial properties (hits) are chemically modified during the stages of hit confirmation and hit-to-lead to enhance their activity and drug-like properties. This typically generates a series of related compounds differing slightly in their chemical properties. The molecule with the most promising overall set of properties is selected as the lead compound for further detailed investigation.
Lead optimization	Modifying the chemical characteristics of a molecule to maximize its antimicrobial activity and improve its pharmacological properties. Lead optimization builds on hit expansion, focusing on lead compounds with the most promising properties. Modifications focus on key areas such as strengthening binding to bacterial target molecules, minimizing binding to host structures, which could cause side effects, and ensuring its availability within target tissues in the body. Lead optimization generates one or more candidates for clinical evaluation.
Limited population pathway for antimicrobial and antifungal drugs (LPAD)	A US regulatory pathway designed to accelerate the availability of new treatments for serious and life-threatening infections in a limited population of patients with unmet needs. For products approved through this pathway, product labelling and promotional material must make it clear the populations in which the product has been tested. Such materials must also highlight the greater uncertainty or higher risk that these patients face because of the accelerated appraisal process. LPAD was introduced in the 21st Century Cures Act, signed into law in 2016. In 2019, approval through this pathway was given for use of pretomanid to treat drug-resistant tuberculosis.
Lipophilicity	The tendency of a chemical to dissolve into fat (lipid) rather than water (aqueous) environments.
LogD	A measure of the preference of a compound to dissolve in either water or an organic solvent (such as octanol). More technically, it is the logarithm of the distribution coefficient (D) of a molecule between an aqueous and lipophilic phase, which takes into account the differential distribution of charged and uncharged forms of the molecule. Charged and non-charged forms of an ionizable compound partition differentially between water and an organic solvent. The distribution of the compound will therefore vary with pH, which alters the proportion of ionized molecules. LogD is therefore used to provide a measure of the lipophilicity of ionizable compounds. For non-ionizable compounds, logD is the same as logP across all pH values. Antibiotics with activity for Gram-negative bacteria often have a low LogD value.
LogP	A measure of the preference of a compound to dissolve in either water or an organic solvent (such as octanol) when uncharged. More technically, it is the logarithm of the partition coefficient (P) of a molecule between an aqueous and lipophilic phase. LogP therefore provides a measure of the lipophilicity of a molecule. Lipophilicity is a key characteristic of drug molecules, affecting their absorption, distribution, metabolism and excretion (ADME). High lipophilicity is often preferred in drug development, particularly for intracellular targets. However, the most desirable properties for an antibiotic will depend on multiple factors, including the site of infection and location of the drug’s molecular target. If a compound can be ionized, its logP value will vary with pH. For ionizable compounds, the related measure logD is used to characterize lipophilicity.
Marketing authorization application (MAA)	An application made to a European regulatory authority for approval to market a medicine within the European Union (or Iceland, Liechtenstein or Norway). An MAA includes comprehensive information about a drug to enable a regulatory authority to judge its quality, safety and efficacy.
Maximum tolerated dose (MTD)	The highest dose of a medicine or treatment that will produce the desired effect without resulting in unacceptable side effects. Higher concentrations of a drug are more likely to be effective but may induce side effects that deter use or outweigh the benefits of treatment. Maximum tolerated doses are usually determined in animal studies and provide the basis for choosing the range of drug concentrations tested in phase 1 trials (dose escalation).
