strain	Molecule ChEMBL ID	NAME	Molecule Max Phase	Molecular Weight	#RO5 Violations	AlogP	Compound Key	Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	pIC50	pChEMBL Value	Data Validity Comment	Comment	Uo Units	Ligand Efficiency BEI	Ligand Efficiency LE	Ligand Efficiency LLE	Ligand Efficiency SEI	Potential Duplicate	Assay ChEMBL ID	Assay Description	Assay Type	BAO Format ID	BAO Label	Assay Organism	Assay Tissue ChEMBL ID	Assay Tissue Name	Assay Cell Type	Assay Subcellular Fraction	Assay Parameters	Assay Variant Accession	Assay Variant Mutation	Target ChEMBL ID	Target Name	Target Organism	Target Type	Document ChEMBL ID	Source ID	Source Description	Document Journal	Document Year	Cell ChEMBL ID	Properties
Acinetobacter baumannii	CHEMBL105	MITOMYCIN	4	334,33	0	-1,65	0026980:01	CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12	MIC	'='	5000,0	nM	5,3			Median N= 2	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4296182	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL3527377	A16329	0	273,52	None	None	MMV1578566	Cl.NC[C@H]1OB(O)c2c(OCCCO)cccc21	MIC	'='	5000,0	nM	5,3			"Median N= 2; Range 10 - 5  Um"	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513161	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL554041	ALEXIDINE DIHYDROCHLORIDE	0	581,73	2	4,26	MMV396785	CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC.Cl.Cl	MIC	'='	10000,0	nM	5,0			Median N= 2	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513161	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL287414	D00424	0	847,02	2	4,75	SAM002589970	CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(c4c3C2=O)=NC2(CCN(CC(C)C)CC2)N=5)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C	MIC	'='	10000,0	nM	5,0			"Median N= 2; Range >10 - 10  Um"	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513141	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL33	LEVOFLOXACIN	4	361,37	0	1,54	MMV687798	C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	MIC	'='	10000,0	nM	5,0			Median N= 2	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513161	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL4	OFLOXACIN	4	361,37	0	1,54	SAM002264629	CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	MIC	'='	5000,0	nM	5,3			Median N= 2	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513141	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL33	LEVOFLOXACIN	4	361,37	0	1,54	MMV687798	C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	MIC	'='	2500,0	nM	5,6			Median N= 2	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513149	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL31	GATIFLOXACIN	4	375,4	0	1,98	SAM002589955	COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12	MIC	'='	1250,0	nM	5,9			"Median N= 2; Range 2.5 - 1.25  Um"	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513141	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL33	LEVOFLOXACIN	4	361,37	0	1,54	SAM001246758	C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	MIC	'='	2500,0	nM	5,6			Median N= 2	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513141	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL1428564	PEFLOXACIN MESYLATE	0	429,47	0	1,61	SAM001246571	CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21.CS(=O)(=O)O	MIC	'='	10000,0	nM	5,0			Median N= 2	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513141	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL1200735	MOXIFLOXACIN HYDROCHLORIDE	4	437,9	0	2,37	SAM001246654	COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12.Cl	MIC	'='	2500,0	nM	5,6			Median N= 2	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513141	40	CO-ADD antimicrobial screening data			None	
Acinetobacter baumannii	CHEMBL4537408	BCP19568	0	448,53	0	1,09	MMV1578568	O=c1ccc2ncc(=O)n3c2n1CC3CN1CCC(NCc2cc3c(cn2)OCCC3)CC1	MIC	'='	10000,0	nM	5,0			Median N= 2	UO_0000065					FALSE	CHEMBL4296188	"Antibacterial activity against Acinetobacter baumannii ATCC 19606 (CO-ADD:GN_034); MIC in CAMBH media using NBS plates, by OD600"	F	BAO_0000218	organism-based format	Acinetobacter baumannii	None	None	None	None	"ASSAY_TEST: Inhibition of Bacterial Growth | DETECTION_METHOD: Absorption (OD600) | MEDIA: CAMHB | PLATE_TYPE: 384well; NBS; CORNING #3640  | TIME = 18.0 hr"			CHEMBL614425	Acinetobacter baumannii	Acinetobacter baumannii	ORGANISM	CHEMBL4513161	40	CO-ADD antimicrobial screening data			None	
Burkholderia cepacia	CHEMBL135683	CHEMBL135683	0	399,47	0	3,03	3x	Cc1c(N2C[C@@H]3CCCC[C@]3(N)C2)c(F)cn2c(=O)c(C(=O)O)cc(C3CC3)c12	MIC	'='	3,9	nM	8,4				UO_0000274					FALSE	CHEMBL764213	In vitro antibacterial activity against gram negative Pseudomonas cepacia 2961	F	BAO_0000218	organism-based format	Burkholderia cepacia	None	None	None	None				CHEMBL612499	Burkholderia cepacia	Burkholderia cepacia	ORGANISM	CHEMBL1132437	1	Scientific Literature	J. Med. Chem.	1999	None	
Burkholderia cepacia	CHEMBL336843	CHEMBL336843	0	385,44	0	2,65	3mm	Cc1c(N2CC[C@@H]3NCCC[C@@H]32)c(F)cn2c(=O)c(C(=O)O)cc(C3CC3)c12	MIC	'='	64,9	nM	7,2				UO_0000274					FALSE	CHEMBL764213	In vitro antibacterial activity against gram negative Pseudomonas cepacia 2961	F	BAO_0000218	organism-based format	Burkholderia cepacia	None	None	None	None				CHEMBL612499	Burkholderia cepacia	Burkholderia cepacia	ORGANISM	CHEMBL1132437	1	Scientific Literature	J. Med. Chem.	1999	None	
Burkholderia cepacia	CHEMBL334452	CHEMBL334452	0	373,43	0	2,37	3u	CN[C@@H]1CN(c2c(F)cn3c(=O)c(C(=O)O)cc(C4CC4)c3c2C)C[C@@H]1C	MIC	'='	4,2	nM	8,4				UO_0000274					FALSE	CHEMBL764213	In vitro antibacterial activity against gram negative Pseudomonas cepacia 2961	F	BAO_0000218	organism-based format	Burkholderia cepacia	None	None	None	None				CHEMBL612499	Burkholderia cepacia	Burkholderia cepacia	ORGANISM	CHEMBL1132437	1	Scientific Literature	J. Med. Chem.	1999	None	
Burkholderia cepacia	CHEMBL334870	CHEMBL334870	0	373,43	0	2,5	-(3S,4S)-3ss	Cc1c(N2CC[C@H](C)[C@H](N)C2)c(F)cn2c(=O)c(C(=O)O)cc(C3CC3)c12	MIC	'='	4,2	nM	8,4				UO_0000274					FALSE	CHEMBL764213	In vitro antibacterial activity against gram negative Pseudomonas cepacia 2961	F	BAO_0000218	organism-based format	Burkholderia cepacia	None	None	None	None				CHEMBL612499	Burkholderia cepacia	Burkholderia cepacia	ORGANISM	CHEMBL1132437	1	Scientific Literature	J. Med. Chem.	1999	None	
Burkholderia cepacia	CHEMBL335199	CHEMBL335199	0	373,43	0	2,37	-(3R,4S)-3v	CN[C@H]1CN(c2c(F)cn3c(=O)c(C(=O)O)cc(C4CC4)c3c2C)C[C@@H]1C	MIC	'='	2,1	nM	8,7				UO_0000274					FALSE	CHEMBL764213	In vitro antibacterial activity against gram negative Pseudomonas cepacia 2961	F	BAO_0000218	organism-based format	Burkholderia cepacia	None	None	None	None				CHEMBL612499	Burkholderia cepacia	Burkholderia cepacia	ORGANISM	CHEMBL1132437	1	Scientific Literature	J. Med. Chem.	1999	None	
Burkholderia cepacia	CHEMBL132716	CHEMBL132716	0	427,4	0	3,05	3o	Cc1c(N2CC[C@H](NCC(F)(F)F)C2)c(F)cn2c(=O)c(C(=O)O)cc(C3CC3)c12	MIC	'='	7,3	nM	8,1				UO_0000274					FALSE	CHEMBL764213	In vitro antibacterial activity against gram negative Pseudomonas cepacia 2961	F	BAO_0000218	organism-based format	Burkholderia cepacia	None	None	None	None				CHEMBL612499	Burkholderia cepacia	Burkholderia cepacia	ORGANISM	CHEMBL1132437	1	Scientific Literature	J. Med. Chem.	1999	None	
